State,Year,Male,Female,Total Pop
Oklahoma,2017,2462,2428,3896251
Oregon,2017,3674,3012,4025127
Pennsylvania,2017,6185,5265,12790505
Rhode Island,2017,1557,1533,1056138
South Carolina,2017,3885,3965,4893444
South Dakota,2017,1208,1223,855444
Tennessee,2017,3844,3692,6597381
Texas,2017,11934,11041,27419612
Utah,2017,2665,2437,2993941
Vermont,2017,985,1231,624636
Virginia,2017,5381,5238,8365952
West Virginia,2017,1862,1802,1836843
Washington,2017,3866,4344,7169967
Wyoming,2017,1036,1238,583200
Wisconsin,2017,3245,3423,5763217
Alabama,2016,2657,3164,4841164
Alaska,2016,1113,1313,736855
Arizona,2016,3825,3918,6728577
Arkansas,2016,2326,2398,2968472
California,2016,10719,10026,38654206
Colorado,2016,3866,4583,5359295
Connecticut,2016,2791,3128,3588570
Delaware,2016,1279,1494,934695
District of Columbia,2016,1175,1370,659009
Florida,2016,7861,8852,19934451
Georgia,2016,4352,5773,10099320
Hawaii,2016,1780,1679,1413673
Idaho,2016,1856,1818,1635483
Illinois,2016,6111,5818,12851684
Indiana,2016,4262,4746,6589578
Iowa,2016,2589,2254,3106589
Kansas,2016,2311,2332,2898292
Kentucky,2016,2886,2847,4411989
Louisiana,2016,3476,3618,4645670
Maine,2016,1788,1727,1329923
Maryland,2016,4260,4250,5959902
Massachusetts,2016,4595,4542,6742143
Michigan,2016,4823,4395,9909600
Minnesota,2016,2979,3722,5450868
Mississippi,2016,2229,2483,2989192
Missouri,2016,3717,4613,6059651
Montana,2016,1390,1350,1023391
Nebraska,2016,1795,2012,1881259
Nevada,2016,2542,2559,2839172
New Hampshire,2016,1739,1971,1327503
New Jersey,2016,4932,5143,8915456
New Mexico,2016,1855,2011,2082669
New York,2016,7467,7508,19697457
North Carolina,2016,5743,5762,9940828
North Dakota,2016,1246,1283,736162
Ohio,2016,5200,4819,11586941
Oklahoma,2016,2721,2309,3875589
Oregon,2016,3039,3135,3982267
Pennsylvania,2016,6199,5744,12783977
Rhode Island,2016,1395,1685,1054491
South Carolina,2016,3799,3768,4834605
South Dakota,2016,1117,1189,851058
Tennessee,2016,3996,4344,6548009
Texas,2016,9340,10187,26956435
Utah,2016,2883,2986,2948427
Vermont,2016,1072,1040,626249
Virginia,2016,4893,5380,8310301
Washington,2016,4009,4682,7073146
West Virginia,2016,1829,1801,1846092
Wisconsin,2016,3552,3667,5754798
Wyoming,2016,972,1220,583029
Puerto Rico,2016,2852,2642,3529385
Puerto Rico,2017,2772,3351,3468963
Alabama,2017,2952,3485,4850771
Alaska,2017,1278,1447,738565
Arizona,2017,4488,3421,6809946
Arkansas,2017,2518,2620,2977944
California,2017,10730,12358,38982847
Colorado,2017,4009,3971,5436519
Connecticut,2017,2654,3143,3594478
District of Columbia,2017,1437,1228,672391
Delaware,2017,1514,1673,943732
Florida,2017,8796,9725,20278447
Georgia,2017,6350,6038,10201635
Hawaii,2017,1935,1820,1421658
Idaho,2017,1654,2126,1657375
Illinois,2017,5931,5859,12854526
Indiana,2017,4329,4476,6614418
Iowa,2017,2374,2499,3118102
Kansas,2017,2041,2600,2903820
Kentucky,2017,2952,3288,4424376
Maine,2017,1733,1741,1330158
Louisiana,2017,3292,3663,4663461
Massachusetts,2017,4903,5120,6789319
Maryland,2017,3275,3582,5996079
Michigan,2017,4842,4600,9925568
Minnesota,2017,3247,3477,5490726
Mississippi,2017,2188,2827,2986220
Missouri,2017,3970,4231,6075300
Montana,2017,1387,1512,1029862
Nebraska,2017,1992,1644,1893921
New Hampshire,2017,2005,1957,1331848
Nevada,2017,2553,2438,2887725
New Jersey,2017,5578,5582,8960161
New Mexico,2017,1892,2155,2084828
New York,2017,7738,6948,19798228
North Carolina,2017,5514,6342,10052564
North Dakota,2017,1513,1340,745475
Ohio,2017,5279,5167,11609756
Oklahoma,2017,2462,2428,3896251
Oregon,2017,3674,3012,4025127
Pennsylvania,2017,6185,5265,12790505
Rhode Island,2017,1557,1533,1056138
South Carolina,2017,3885,3965,4893444
South Dakota,2017,1208,1223,855444
Tennessee,2017,3844,3692,6597381
Texas,2017,11934,11041,27419612
Utah,2017,2665,2437,2993941
Vermont,2017,985,1231,624636
Virginia,2017,5381,5238,8365952
West Virginia,2017,1862,1802,1836843
Washington,2017,3866,4344,7169967
Wyoming,2017,1036,1238,583200
Wisconsin,2017,3245,3423,5763217
Minnesota,2018,3571,3864,5527358
Mississippi,2018,2604,2717,2988762
Missouri,2018,4244,4503,6090062
Montana,2018,1548,1869,1041732
Nebraska,2018,1712,2169,1904760
