State,year,Total Population,White (pop),Black (pop),Native/Indigenous (pop),Asian (pop),Pacfic Islander (pop),Mixed Race (pop),Hispanic (pop),White (%),Black (%),Native/Indigenous (%),Asian (%),Pacfic Islander (%),Mixed Race (%),Hispanic (%)
Missouri,2009,5904382,4955606,658633,23624,0.014432501149146515,4505,115851,184831,0.839,0.112,0.004,0.0,0.001,0.02,0.031
Mississippi,2009,2922240,1752786,1081589,12829,0.00843702091546211,816,27624,61456,0.6,0.37,0.004,0.0,0.0,0.009,0.021
Montana,2009,956257,856153,5283,59001,0.006622696618168547,825,22047,26853,0.895,0.006,0.062,0.0,0.001,0.023,0.028
North Carolina,2009,9045705,6375420,1909832,101986,0.019160474501434658,4716,151705,633220,0.705,0.211,0.011,0.0,0.001,0.017,0.07
North Dakota,2009,639725,580184,6029,34192,0.008303567939348938,383,9553,12571,0.907,0.009,0.053,0.0,0.001,0.015,0.02
Nebraska,2009,1772124,1571458,72806,14966,0.01601185921526936,1931,33179,137322,0.887,0.041,0.008,0.0,0.001,0.019,0.077
New Hampshire,2009,1315419,1246855,14227,3210,0.01899090707979739,291,16074,33778,0.948,0.011,0.002,0.0,0.0,0.012,0.026
New Jersey,2009,8650548,6073393,1175670,19312,0.07426535290018621,2713,152668,1375788,0.702,0.136,0.002,0.0,0.0,0.018,0.159
New Mexico,2009,1964860,1381186,43332,183098,0.013626416131429212,971,63085,879480,0.703,0.022,0.093,0.0,0.0,0.032,0.448
Nevada,2009,2545763,1909349,190093,30501,0.06178108488496376,12409,83678,641593,0.75,0.075,0.012,0.0,0.005,0.033,0.252
New York,2009,19423896,13031404,3024739,64950,0.0679465643761684,5378,358501,3172353,0.671,0.156,0.003,0.0,0.0,0.018,0.163
Ohio,2009,11511858,9669759,1349893,21960,0.015068201848910922,2870,193106,301340,0.84,0.117,0.002,0.0,0.0,0.017,0.026
Oklahoma,2009,3610073,2720673,264756,239130,0.016007432536682777,3565,228236,272460,0.754,0.073,0.066,0.0,0.001,0.063,0.075
Oregon,2009,3727407,3214583,64995,59700,0.03485854912007194,9685,123818,393466,0.862,0.017,0.016,0.0,0.003,0.033,0.106
Pennsylvania,2009,12516596,10482799,1300350,16740,0.02366058631276427,3026,168386,584932,0.838,0.104,0.001,0.0,0.0,0.013,0.047
Puerto Rico,2009,3940109,2964136,285752,8056,0.0030671740299570392,178,254204,3889245,0.752,0.073,0.002,0.0,0.0,0.065,0.987
Rhode Island,2009,1057381,875224,57658,4520,0.027489618217085423,257,21168,120586,0.828,0.055,0.004,0.0,0.0,0.02,0.114
South Carolina,2009,4416867,2977453,1245855,13825,0.012057868167640094,2130,58451,178650,0.674,0.282,0.003,0.0,0.0,0.013,0.04
