State,Year,Total Population,White (pop),Black (pop),Indigenous (pop),Asian (pop),Pacfic Islander (pop),Mixed Race (pop),Hispanic (pop),White (%),Black (%),Indigenous (%),Asian (%),Pacfic Islander (%),Mixed Race (%),Hispanic (%)
South Carolina,2012,4630351,3108466,1290704,15122,57635,1791,81422,232926,0.671,0.279,0.003,0.012,0.0,0.018,0.05
South Dakota,2012,815871,701466,10331,71532,8060,157,17309,22778,0.86,0.013,0.088,0.01,0.0,0.021,0.028
Tennessee,2012,6353226,4982977,1060494,15991,92800,2765,109927,288582,0.784,0.167,0.003,0.015,0.0,0.017,0.045
Texas,2012,25208897,18670767,2972834,127794,979385,20671,554343,9479670,0.741,0.118,0.005,0.039,0.001,0.022,0.376
Utah,2012,2766233,2465277,29912,30823,56081,25766,63332,357893,0.891,0.011,0.011,0.02,0.009,0.023,0.129
Vermont,2012,625498,596251,5804,1855,7891,130,11631,9452,0.953,0.009,0.003,0.013,0.0,0.019,0.015
Virginia,2012,8014955,5575445,1561042,25205,443460,5438,219962,631669,0.696,0.195,0.003,0.055,0.001,0.027,0.079
Washington,2012,6738714,5304864,238255,93416,484047,39246,311316,754366,0.787,0.035,0.014,0.072,0.006,0.046,0.112
West Virginia,2012,1850481,1737369,58260,2934,12694,531,34700,22026,0.939,0.031,0.002,0.007,0.0,0.019,0.012
Wisconsin,2012,5687219,4961852,353470,49289,129550,1302,109310,335208,0.872,0.062,0.009,0.023,0.0,0.019,0.059
Wyoming,2012,562803,513021,4689,12951,4392,206,15445,50313,0.912,0.008,0.023,0.008,0.0,0.027,0.089
Puerto Rico,2012,3716727,2631788,282162,8608,12495,44,427407,3675889,0.708,0.076,0.002,0.003,0.0,0.115,0.989
Alabama,2013,4799277,3326188,1262152,25278,56831,1387,72145,188294,0.693,0.263,0.005,0.012,0.0,0.015,0.039
Alaska,2013,720316,481638,25033,101273,39200,8013,56757,42832,0.669,0.035,0.141,0.054,0.011,0.079,0.059
Arizona,2013,6479703,5131739,270027,286953,182953,12607,191265,1935948,0.792,0.042,0.044,0.028,0.002,0.03,0.299
Arkansas,2013,2933369,2295446,454903,17945,37776,5697,58307,192264,0.783,0.155,0.006,0.013,0.002,0.02,0.066
California,2013,37659181,23467167,2255372,286397,5005635,146290,1627359,14270345,0.623,0.06,0.008,0.133,0.004,0.043,0.379
Colorado,2013,5119329,4301096,203755,49177,141719,6549,175035,1064009,0.84,0.04,0.01,0.028,0.001,0.034,0.208
Connecticut,2013,3583561,2792554,361668,8770,141709,1304,94111,496939,0.779,0.101,0.002,0.04,0.0,0.026,0.139
Delaware,2013,908446,635474,194964,3010,30422,567,23066,76107,0.7,0.215,0.003,0.033,0.001,0.025,0.084
